ínì_,ì˙,éû,é¸ä˙(s),îgçÇ(m),îgå¸(16ï˚à )
B, 6,12, 9,  0.5, 7
B, 7,00, 4,  1.4, 6
B, 7,12, 8,  3.1, 6
B, 8,00, 9,  4.7, 7
B, 8,12,11,  2.4, 7
B, 9,00,10,  1.9, 6
B, 9,12, 9,  1.5, 7
B,10,00, 9,  1.2, 8
B,10,12, 5,  1.7,12
B,11,00, 4,  1.0,12
B,11,12, 7,  0.8,12
B,12,00, 6,  0.7, 6
B,12,12, 6,  1.6, 7
B,13,00, 8,  1.9, 6
B,13,12, 9,  2.5, 8
B,14,00, 9,  2.0, 7
B,14,12, 9,  3.0,10
B,15,00,10,  1.6, 7
B,15,12,10,  1.1, 5
B,16,00, 7,  3.9, 9
B,16,12, 9,  2.5, 9
B,17,00, 9,  1.6, 7
B,17,12, 8,  1.6, 8
B,18,00, 9,  1.0, 7
B,18,12, 9,  1.0, 6
B,19,00, 5,  2.4, 4
B,19,12, 5,  2.0, 6
B,20,00, 9,  1.7, 9
B,20,12, 9,  1.2, 7
B,21,00, 9,  1.1, 6
B,21,12, 7,  1.4,10
B,22,00, 7,  0.9, 8
B,22,12, 4,  1.4, 2
B,23,00,10,  0.3, 4
B,23,12, 2,  0.5, 6
B,24,00,10,  0.4, 8
B,24,12, 5,  1.0, 9
B,25,00,10,  0.8, 8
B,25,12,10,  1.5, 6
B,26,00, 9,  1.1, 6
B,26,12,10,  1.3, 7
B,27,00, 8,  3.7, 8
B,27,12, 9,  2.4, 8
B,28,00, 9,  2.1, 9
B,28,12, 9,  1.6, 7
B,29,00, 8,  3.4, 6
B,29,12, 9,  3.8, 6
B,30,00,10,  4.1, 7
B,30,12,11,  3.0, 6
B,31,00,11,  2.2, 6
B,31,12,11,  2.3,10
C, 1,00, 6,  2.1,14
C, 1,12, 6,  2.3,14
C, 2,00, 6,  1.4,14
C, 2,12, 5,  1.8,14
C, 3,00, 5,  1.0,14
C, 3,12, 5,  1.6,13
C, 4,00, 6,  1.9,14
C, 4,12, 6,  1.9,14
C, 5,00, 5,  1.3,14
C, 5,12, 5,  0.9,14
C, 6,00, 5,  0.9,15
C, 6,12, 9,  0.5, 6
C, 7,00, 5,  2.1, 2
C, 7,12, 8,  2.7, 5
C, 8,00, 7,  4.1,13
C, 8,12,10,  1.4,10
C, 9,00, 5,  1.5,13
C, 9,12, 5,  1.6,14
C,10,00, 5,  1.5,14
C,10,12, 6,  2.0,14
C,11,00, 5,  1.4,14
C,11,12, 6,  1.3,14
C,12,00, 4,  0.6, 9
C,12,12, 7,  2.5, 7
C,13,00, 9,  2.1, 8
C,13,12, 9,  2.2, 9
C,14,00, 6,  2.2,10
C,14,12, 6,  3.0,14
C,15,00, 5,  1.4,15
C,15,12,10,  1.0, 6
C,16,00, 7,  2.9, 9
C,16,12, 6,  2.2,13
C,17,00, 6,  2.1,12
C,17,12, 6,  2.0,12
C,18,00, 5,  1.4,13
C,18,12,10,  1.1, 7
C,19,00, 5,  2.4, 3
C,19,12, 7,  2.5,15
C,20,00, 6,  2.2,14
C,20,12, 6,  1.5,14
C,21,00, 5,  1.8,13
C,21,12, 5,  1.3,14
C,22,00, 8,  0.6, 9
C,22,12, 6,  2.2,15
C,23,00, 5,  0.7, 2
C,23,12, 2,  0.4, 5
C,24,00, 9,  0.4, 7
C,24,12, 7,  0.7, 7
C,25,00, 9,  1.2, 7
C,25,12,10,  1.3, 7
C,26,00,10,  2.4, 6
C,26,12, 7,  3.0, 7
C,27,00, 9,  2.8, 6
C,27,12, 6,  2.6,15
C,28,00, 9,  2.0, 7
C,28,12, 9,  1.4, 6
C,29,00, 9,  4.3, 6
C,29,12,10,  3.6,10
C,30,00,10,  3.8,12
C,30,12,11,  2.8,14
C,31,00, 6,  2.5,14
C,31,12, 6,  2.7,14
D, 1,00, 9,  1.6, 4
D, 1,12, 4,  1.5,16
D, 2,00,12,  1.2, 2
D, 2,12, 4,  1.4, 1
D, 3,00, 4,  0.8, 1
D, 3,12, 5,  1.3, 1
D, 4,00, 4,  1.4, 1
D, 4,12, 4,  1.0, 2
D, 5,00, 5,  1.3, 2
D, 5,12, 9,  1.0, 5
D, 6,00, 7,  2.5, 3
D, 6,12, 7,  1.2, 4
D, 7,00, 5,  1.8, 6
D, 7,12, 7,  3.6,11
D, 8,00, 9,  3.0, 9
D, 8,12, 9,  1.3, 4
D, 9,00,11,  1.7, 3
D, 9,12,11,  1.3, 3
D,10,00,10,  1.3, 1
D,10,12, 4,  1.2,13
D,11,00, 4,  1.3,16
D,11,12, 7,  0.9, 1
D,12,00,10,  0.9, 5
D,12,12, 8,  2.0, 5
D,13,00, 9,  1.7, 5
D,13,12, 9,  1.9, 5
D,14,00, 9,  2.1, 8
D,14,12, 5,  2.2, 1
D,15,00, 9,  1.4, 3
D,15,12,10,  1.3, 4
D,16,00,10,  1.9, 6
D,16,12, 9,  2.1, 6
D,17,00,10,  1.8, 5
D,17,12, 9,  1.5, 5
D,18,00,10,  1.1, 4
D,18,12, 9,  1.3, 6
D,19,00, 6,  3.1,13
D,19,12,12,  1.9, 2
D,20,00, 9,  1.9, 3
D,20,12, 8,  1.3, 2
D,21,00,11,  1.2, 3
D,21,12,10,  1.0, 4
D,22,00, 9,  0.9, 8
D,22,12, 7,  1.3, 7
D,23,00, 8,  1.4, 3
D,23,12, 7,  1.7, 3
D,24,00, 7,  2.5, 5
D,24,12, 9,  2.4, 5
D,25,00,10,  2.2, 6
D,25,12,11,  2.0, 6
D,26,00,11,  2.2, 6
D,26,12,11,  2.4, 5
D,27,00,10,  3.0, 6
D,27,12, 9,  2.5, 7
D,28,00, 9,  2.1, 5
D,28,12, 7,  1.8, 5
D,29,00, 6,  3.0, 9
D,29,12,10,  2.7, 5
D,30,00, 6,  3.6,15
D,30,12,11,  2.3, 3
D,31,00,11,  2.3, 2
D,31,12,12,  2.6, 2
E, 1,00, 9,  1.8,10
E, 1,12, 8,  1.5,11
E, 2,00, 7,  1.2,10
E, 2,12, 7,  1.6,11
E, 3,00, 7,  1.3, 3
E, 3,12, 7,  1.2, 4
E, 4,00, 7,  1.3, 3
E, 4,12, 7,  0.8, 5
E, 5,00, 7,  1.2,10
E, 5,12, 6,  1.1,10
E, 6,00, 7,  2.1, 3
E, 6,12, 9,  2.5, 3
E, 7,00, 9,  2.5, 9
E, 7,12, 9,  3.2,10
E, 8,00, 9,  2.3,10
E, 8,12, 9,  1.6,10
E, 9,00, 9,  1.9,11
E, 9,12, 8,  1.3,11
E,10,00, 8,  1.4,12
E,10,12, 8,  1.1, 4
E,11,00, 7,  1.2,10
E,11,12, 7,  1.5, 3
E,12,00, 7,  1.4, 5
E,12,12, 8,  1.3, 5
E,13,00, 7,  1.5, 6
E,13,12,10,  1.6, 5
E,14,00, 7,  1.5, 6
E,14,12, 9,  1.6, 4
E,15,00, 8,  2.2, 4
E,15,12, 7,  2.1, 5
E,16,00,10,  1.8, 7
E,16,12, 7,  2.1, 9
E,17,00, 7,  2.3, 4
E,17,12, 7,  2.0, 5
E,18,00, 8,  2.2, 4
E,18,12, 8,  2.5, 8
E,19,00, 9,  2.2,10
E,19,12, 9,  1.5, 3
E,20,00, 9,  1.8, 3
E,20,12, 9,  1.2, 3
E,21,00, 9,  1.2, 3
E,21,12,10,  1.4, 4
E,22,00, 7,  1.6, 7
E,22,12, 7,  0.9, 6
E,23,00, 7,  2.9, 4
E,23,12, 9,  3.7, 4
E,24,00, 9,  4.3, 5
E,24,12,10,  4.6, 5
E,25,00,11,  3.6, 5
E,25,12,11,  3.2, 5
E,26,00,11,  2.6, 5
E,26,12,11,  2.4, 5
E,27,00, 7,  3.4, 7
E,27,12, 9,  3.3, 5
E,28,00, 9,  3.4, 4
E,28,12, 9,  3.3, 5
E,29,00, 9,  3.1, 5
E,29,12, 9,  2.2, 8
E,30,00,10,  2.5, 4
E,30,12,11,  1.9, 3
E,31,00,11,  1.8, 3
E,31,12,11,  2.3, 3
F, 1,00, 9,  1.6,11
F, 1,12, 8,  1.5,12
F, 2,00, 5,  1.2,12
F, 2,12, 7,  1.4,12
F, 3,00, 7,  0.7,11
F, 3,12, 4,  0.9, 4
F, 4,00, 6,  0.9, 6
F, 4,12, 6,  0.7, 9
F, 5,00, 6,  0.8,11
F, 5,12, 4,  0.9,11
F, 6,00, 4,  0.9, 4
F, 6,12,10,  1.1, 5
F, 7,00, 5,  1.8,11
F, 7,12, 9,  2.6,11
F, 8,00, 9,  2.3,11
F, 8,12, 8,  1.6,12
F, 9,00, 5,  1.6,12
F, 9,12, 5,  1.1,12
F,10,00, 8,  1.2,12
F,10,12, 7,  0.8,11
F,11,00, 4,  0.7,12
F,11,12, 4,  1.0, 4
F,12,00,10,  1.0, 5
F,12,12,10,  1.0, 6
F,13,00,10,  1.2, 7
F,13,12,10,  1.2, 7
F,14,00, 6,  1.0,11
F,14,12, 7,  0.9, 9
F,15,00, 8,  1.5, 5
F,15,12, 9,  1.6, 5
F,16,00,10,  1.2, 7
F,16,12, 6,  1.6, 9
F,17,00, 9,  1.3, 5
F,17,12, 9,  1.6, 8
F,18,00,10,  1.2, 6
F,18,12, 5,  1.8,11
F,19,00, 9,  1.8,11
F,19,12, 5,  1.2, 2
F,20,00, 5,  1.3, 3
F,20,12,11,  0.5, 5
F,21,00,10,  0.8, 6
F,21,12, 9,  1.1, 9
F,22,00, 9,  1.0, 9
F,22,12, 9,  0.6, 9
F,23,00, 5,  1.9, 5
F,23,12, 9,  2.9, 4
F,24,00,10,  3.3, 5
F,24,12,11,  3.3, 5
F,25,00,11,  2.9, 5
F,25,12,11,  2.7, 5
F,26,00,11,  2.4, 5
F,26,12,11,  2.0, 5
F,27,00, 8,  2.8, 7
F,27,12, 9,  2.5, 6
F,28,00, 9,  2.6, 5
F,28,12, 9,  2.1, 5
F,29,00, 9,  2.8, 9
F,29,12, 9,  2.0,11
F,30,00, 9,  1.7,10
F,30,12,11,  1.3,10
F,31,00,11,  1.3,11
F,31,12, 5,  1.6, 4
G, 1,00, 8,  3.2,13
G, 1,12, 7,  2.5,13
G, 2,00, 7,  2.0,13
G, 2,12, 7,  2.4,13
G, 3,00, 6,  2.0,13
G, 3,12, 6,  2.1,13
G, 4,00, 6,  2.0,13
G, 4,12, 6,  1.7,13
G, 5,00, 6,  1.5,13
G, 5,12, 5,  1.5,13
G, 6,00, 6,  1.7,13
G, 6,12, 6,  1.7,13
G, 7,00, 6,  2.3,13
G, 7,12, 9,  4.4,13
G, 8,00, 9,  3.4,12
G, 8,12, 7,  2.4,13
G, 9,00, 7,  2.5,13
G, 9,12, 7,  1.9,13
G,10,00, 7,  2.1,13
G,10,12, 6,  1.9,13
G,11,00, 7,  1.7,13
G,11,12, 6,  1.3, 4
G,12,00, 9,  0.8, 5
G,12,12, 4,  1.1, 5
G,13,00, 7,  2.1,13
G,13,12, 6,  2.2,13
G,14,00, 6,  1.9,13
G,14,12, 6,  1.7,13
G,15,00, 6,  1.5, 4
G,15,12, 8,  1.3, 5
G,16,00,10,  1.0, 7
G,16,12, 7,  2.2,12
G,17,00, 6,  1.4,13
G,17,12, 6,  2.3,13
G,18,00, 7,  1.7,13
G,18,12, 7,  2.4,13
G,19,00, 8,  3.5,13
G,19,12, 8,  2.1,13
G,20,00, 6,  1.9, 4
G,20,12,12,  0.9, 4
G,21,00, 4,  1.1, 3
G,21,12, 5,  1.3,13
G,22,00, 5,  1.3,12
G,22,12, 5,  0.9, 9
G,23,00, 6,  2.0, 4
G,23,12, 8,  3.8, 4
G,24,00, 8,  3.8, 4
G,24,12,10,  3.0, 4
G,25,00,11,  2.7, 5
G,25,12,11,  2.4, 5
G,26,00,11,  2.1, 5
G,26,12,11,  1.7, 5
G,27,00, 8,  3.6, 9
G,27,12, 8,  2.7, 7
G,28,00, 9,  3.1, 5
G,28,12, 9,  2.2, 5
G,29,00, 7,  4.1,13
G,29,12, 7,  3.2,13
G,30,00, 8,  3.1,13
G,30,12, 7,  2.2,13
G,31,00, 7,  2.4,13
G,31,12, 6,  1.6,14
H, 1,00, 6,  2.2,13
H, 1,12, 5,  1.6,14
H, 2,00, 5,  1.4,13
H, 2,12, 5,  1.8,14
H, 3,00, 5,  1.6,14
H, 3,12, 5,  1.3,15
H, 4,00, 5,  1.3,15
H, 4,12, 5,  1.0,15
H, 5,00, 4,  0.9,16
H, 5,12, 4,  1.0,15
H, 6,00, 5,  1.1,15
H, 6,12, 4,  1.1,12
H, 7,00, 5,  1.7,13
H, 7,12, 6,  3.0,13
H, 8,00, 6,  2.4,13
H, 8,12, 6,  1.7,13
H, 9,00, 6,  1.9,13
H, 9,12, 6,  1.5,13
H,10,00, 6,  1.5,13
H,10,12, 5,  1.2,14
H,11,00, 5,  1.2,14
H,11,12,11,  0.5, 5
H,12,00,10,  0.6, 6
H,12,12, 5,  1.6,16
H,13,00, 5,  1.5,14
H,13,12, 4,  1.2,13
H,14,00, 4,  1.0,13
H,14,12, 5,  1.3,14
H,15,00,10,  0.6, 6
H,15,12, 8,  1.0, 5
H,16,00,10,  1.0, 6
H,16,12, 5,  1.9,13
H,17,00, 4,  1.1,13
H,17,12, 5,  1.8,14
H,18,00, 5,  1.5,15
H,18,12, 5,  1.4,13
H,19,00, 6,  2.4,13
H,19,12, 6,  1.7,15
H,20,00, 5,  1.5,16
H,20,12, 7,  0.9, 5
H,21,00, 4,  1.0, 4
H,21,12, 9,  0.7, 7
H,22,00, 9,  0.9, 7
H,22,12, 9,  0.9, 8
H,23,00, 5,  1.7, 6
H,23,12, 9,  3.3, 5
H,24,00, 9,  3.7, 5
H,24,12,10,  2.6, 5
H,25,00,11,  2.4, 5
H,25,12,11,  2.4, 5
H,26,00,11,  2.5, 5
H,26,12,11,  2.3, 6
H,27,00, 8,  3.2, 9
H,27,12, 6,  2.5, 5
H,28,00, 9,  3.1, 5
H,28,12, 9,  2.3, 5
H,29,00, 6,  3.0,14
H,29,12, 6,  2.2,13
H,30,00, 6,  2.1,14
H,30,12, 5,  1.4,14
H,31,00, 5,  1.6,14
H,31,12, 5,  1.5,15
I, 1,00, 4,  0.7,15
I, 1,12, 4,  0.7,15
I, 2,00, 4,  0.4,13
I, 2,12, 4,  0.8,15
I, 3,00, 4,  0.7,16
I, 3,12, 4,  0.7,16
I, 4,00, 4,  1.0, 1
I, 4,12, 4,  0.7, 3
I, 5,00,10,  0.9, 5
I, 5,12, 4,  1.1, 3
I, 6,00, 9,  0.9,10
I, 6,12, 9,  0.8, 9
I, 7,00, 9,  0.9, 9
I, 7,12, 7,  1.7,13
I, 8,00, 4,  0.8,13
I, 8,12, 4,  0.6,13
I, 9,00, 4,  0.7,14
I, 9,12, 4,  0.6,14
I,10,00, 4,  0.5,14
I,10,12, 4,  0.5,14
I,11,00, 4,  0.7,16
I,11,12, 2,  0.5, 6
I,12,00,10,  0.3, 6
I,12,12, 4,  0.8, 4
I,13,00,10,  0.4, 7
I,13,12,10,  0.6, 8
I,14,00,10,  0.5, 7
I,14,12, 9,  0.7, 7
I,15,00,10,  0.5, 7
I,15,12,10,  0.7, 7
I,16,00,10,  0.9, 8
I,16,12, 4,  1.4,12
I,17,00, 4,  1.1, 3
I,17,12, 5,  1.1,16
I,18,00, 4,  0.8, 2
I,18,12, 5,  1.5,12
I,19,00, 5,  1.4,15
I,19,12, 5,  1.3, 1
I,20,00, 5,  1.2, 1
I,20,12, 9,  0.5, 6
I,21,00, 2,  0.5, 7
I,21,12, 9,  0.7, 8
I,22,00, 9,  0.8, 8
I,22,12, 9,  1.1, 8
I,23,00, 9,  1.4, 7
I,23,12, 5,  2.3, 5
I,24,00, 9,  2.3, 6
I,24,12, 9,  2.0, 5
I,25,00, 5,  1.8, 3
I,25,12, 9,  1.2, 6
I,26,00, 9,  2.0, 7
I,26,12, 7,  2.3, 8
I,27,00, 8,  2.3, 7
I,27,12, 5,  1.9, 3
I,28,00,10,  1.4, 5
I,28,12,10,  1.5, 6
I,29,00, 5,  1.8,13
I,29,12, 5,  1.3,14
I,30,00, 4,  0.9,15
I,30,12, 4,  0.7,14
I,31,00, 4,  1.0,15
I,31,12, 4,  0.5, 3
J, 1,00, 4,  0.5,15
J, 1,12, 4,  0.5,14
J, 2,00, 4,  0.4,14
J, 2,12, 4,  0.7,14
J, 3,00, 2,  0.3,14
J, 3,12, 2,  0.3, 1
J, 4,00, 2,  0.4, 7
J, 4,12,10,  0.4, 6
J, 5,00,10,  0.9, 6
J, 5,12,10,  0.8, 6
J, 6,00, 9,  0.9, 8
J, 6,12, 4,  0.7,10
J, 7,00, 4,  0.9,11
J, 7,12, 4,  1.1,12
J, 8,00, 4,  0.6,14
J, 8,12, 4,  0.5,14
J, 9,00, 4,  0.6,14
J, 9,12, 4,  0.6,15
J,10,00, 4,  0.3,14
J,10,12, 4,  0.4,14
J,11,00, 2,  0.3, 1
J,11,12, 2,  0.5, 7
J,12,00,10,  0.3, 6
J,12,12,10,  0.7, 6
J,13,00, 2,  0.2, 6
J,13,12,10,  0.6, 6
J,14,00,10,  0.5, 7
J,14,12,10,  0.7, 6
J,15,00,10,  0.7, 6
J,15,12,10,  0.7, 6
J,16,00,10,  1.0, 6
J,16,12,10,  1.2, 6
J,17,00,10,  0.8, 6
J,17,12,10,  0.8, 5
J,18,00,10,  0.6, 6
J,18,12, 5,  1.3,12
J,19,00, 4,  0.6,13
J,19,12, 4,  0.4, 2
J,20,00, 6,  0.7, 5
J,20,12, 9,  0.5, 6
J,21,00, 9,  0.8, 6
J,21,12, 9,  0.8, 6
J,22,00, 6,  1.2, 8
J,22,12, 9,  1.1, 8
J,23,00, 9,  1.8, 7
J,23,12, 9,  2.1, 6
J,24,00,10,  2.8, 6
J,24,12,10,  2.6, 5
J,25,00,11,  2.2, 5
J,25,12,12,  2.2, 5
J,26,00,12,  2.8, 5
J,26,12,12,  2.6, 6
J,27,00, 9,  2.3, 6
J,27,12,11,  1.9, 5
J,28,00,11,  1.5, 5
J,28,12,10,  2.0, 5
J,29,00,10,  1.6, 5
J,29,12,10,  1.0, 5
J,30,00,10,  0.4, 5
J,30,12,10,  0.6, 5
J,31,00, 2,  0.5,10
J,31,12, 2,  0.3, 6
K, 1,00, 5,  1.2,16
K, 1,12, 4,  0.8,16
K, 2,00, 4,  0.8,15
K, 2,12, 5,  1.3,16
K, 3,00, 5,  1.3,16
K, 3,12, 5,  1.2,16
K, 4,00, 4,  1.0, 1
K, 4,12, 4,  0.6, 2
K, 5,00, 4,  1.0, 4
K, 5,12, 5,  1.5, 1
K, 6,00, 5,  1.3,16
K, 6,12, 5,  1.2,16
K, 7,00, 4,  0.9,13
K, 7,12, 6,  2.0,16
K, 8,00, 6,  1.2,16
K, 8,12, 6,  1.2,16
K, 9,00, 6,  1.3,16
K, 9,12, 6,  1.4,16
K,10,00, 5,  1.1,16
K,10,12, 4,  0.7,15
K,11,00, 4,  0.7, 1
K,11,12, 2,  0.5, 7
K,12,00, 5,  0.9,16
K,12,12, 4,  0.8,15
K,13,00, 4,  0.5,14
K,13,12, 2,  0.4, 7
K,14,00,10,  0.4, 7
K,14,12, 9,  0.5, 6
K,15,00,10,  0.4, 6
K,15,12,10,  0.7, 8
K,16,00,10,  0.8, 8
K,16,12, 6,  2.0,16
K,17,00, 5,  1.5,16
K,17,12, 5,  1.4,16
K,18,00, 4,  0.8,16
K,18,12, 4,  0.9,13
K,19,00, 6,  1.7,16
K,19,12, 4,  0.7, 1
K,20,00, 4,  0.7, 2
K,20,12, 9,  0.5, 7
K,21,00, 9,  0.7, 7
K,21,12, 9,  0.8, 8
K,22,00, 6,  1.1, 8
K,22,12, 7,  1.0, 8
K,23,00, 7,  1.4, 8
K,23,12, 9,  1.7, 7
K,24,00,10,  1.9, 5
K,24,12, 9,  1.8, 5
K,25,00, 9,  1.5, 6
K,25,12, 9,  1.0, 7
K,26,00, 8,  1.9, 7
K,26,12, 8,  1.8, 8
K,27,00, 5,  2.0, 1
K,27,12, 5,  1.4, 3
K,28,00, 9,  1.2, 5
K,28,12, 5,  1.8,11
K,29,00, 6,  2.0,16
K,29,12, 6,  1.8,16
K,30,00, 5,  0.8,16
K,30,12, 4,  0.8,16
K,31,00, 4,  0.9,15
K,31,12, 2,  0.3, 6
L, 1,00, 5,  0.9, 1
L, 1,12, 5,  0.9,16
L, 2,00, 5,  0.7, 1
L, 2,12, 5,  0.9,16
L, 3,00, 5,  0.9, 1
L, 3,12, 6,  1.1, 4
L, 4,00, 7,  1.4, 3
L, 4,12, 6,  1.2, 4
L, 5,00, 6,  1.9, 4
L, 5,12, 7,  2.6, 3
L, 6,00, 7,  1.9, 3
L, 6,12, 6,  1.6, 2
L, 7,00, 5,  1.3, 3
L, 7,12, 6,  2.3,16
L, 8,00, 5,  1.2, 1
L, 8,12, 5,  0.8,16
L, 9,00, 5,  1.3,16
L, 9,12, 5,  1.2,16
L,10,00, 5,  1.2, 1
L,10,12, 5,  0.9, 1
L,11,00, 5,  0.8, 2
L,11,12,11,  1.0, 4
L,12,00, 5,  1.2,16
L,12,12, 5,  1.1,16
L,13,00, 8,  0.5, 4
L,13,12,10,  0.8, 6
L,14,00,10,  0.7, 6
L,14,12,10,  0.8, 6
L,15,00,10,  0.8, 6
L,15,12,10,  0.9, 6
L,16,00,10,  1.1, 6
L,16,12, 5,  1.6, 4
L,17,00, 6,  1.7, 2
L,17,12, 6,  1.4, 1
L,18,00, 7,  1.4, 2
L,18,12, 5,  1.5,15
L,19,00, 5,  1.2,16
L,19,12, 7,  1.3, 3
L,20,00, 7,  1.2, 3
L,20,12, 7,  1.1, 4
L,21,00, 6,  1.6, 5
L,21,12, 7,  1.6, 6
L,22,00, 8,  1.7, 7
L,22,12, 7,  1.8, 7
L,23,00, 7,  2.2, 7
L,23,12, 7,  2.4, 5
L,24,00, 9,  2.9, 4
L,24,12,10,  3.7, 4
L,25,00,11,  4.0, 4
L,25,12,11,  3.2, 4
L,26,00,12,  3.7, 5
L,26,12,12,  2.9, 5
L,27,00,12,  2.3, 5
L,27,12,12,  2.7, 4
L,28,00,11,  2.9, 4
L,28,12,11,  2.8, 3
L,29,00,10,  2.4, 1
L,29,12, 6,  2.0, 1
L,30,00, 7,  1.1, 2
L,30,12, 4,  0.9, 2
L,31,00, 5,  1.1, 3
L,31,12,11,  0.6, 5
M, 1,00, 7,  0.9, 2
M, 1,12, 6,  1.0, 2
M, 2,00, 6,  0.9, 2
M, 2,12, 6,  0.9, 3
M, 3,00, 7,  1.0, 3
M, 3,12, 6,  1.5, 4
M, 4,00, 6,  1.9, 4
M, 4,12, 8,  2.4, 5
M, 5,00, 8,  2.4, 5
M, 5,12, 8,  3.2, 3
M, 6,00, 9,  2.2, 4
M, 6,12, 8,  2.1, 3
M, 7,00, 7,  2.0, 3
M, 7,12, 9,  2.8, 1
M, 8,00, 9,  1.5, 1
M, 8,12, 9,  1.5, 1
M, 9,00, 9,  1.4, 1
M, 9,12, 9,  1.6, 1
M,10,00, 8,  1.7, 2
M,10,12, 7,  1.2, 2
M,11,00, 6,  1.0, 3
M,11,12,11,  0.9, 5
M,12,00, 7,  1.6, 1
M,12,12, 8,  1.2, 1
M,13,00, 6,  0.9, 2
M,13,12,10,  0.9, 5
M,14,00,10,  0.9, 5
M,14,12,10,  1.2, 5
M,15,00, 7,  1.4, 5
M,15,12, 8,  1.4, 5
M,16,00, 8,  1.5, 5
M,16,12, 6,  2.0, 3
M,17,00, 8,  2.4, 2
M,17,12, 9,  1.8, 2
M,18,00, 7,  1.3, 2
M,18,12,10,  1.1, 3
M,19,00, 7,  1.4, 2
M,19,12, 8,  1.0, 3
M,20,00, 6,  1.0, 5
M,20,12, 6,  1.5, 5
M,21,00, 7,  2.1, 6
M,21,12, 7,  2.0, 6
M,22,00, 9,  1.8, 6
M,22,12, 9,  2.3, 6
M,23,00, 9,  2.8, 6
M,23,12, 8,  2.0, 6
M,24,00, 9,  1.7, 5
M,24,12, 9,  1.9, 4
M,25,00,11,  2.6, 4
M,25,12,11,  2.6, 4
M,26,00,12,  3.1, 5
M,26,12,12,  2.3, 4
M,27,00,12,  2.2, 4
M,27,12,12,  2.0, 4
M,28,00,12,  2.0, 4
M,28,12,12,  2.5, 3
M,29,00, 9,  2.2, 1
M,29,12, 9,  2.0, 1
M,30,00, 8,  1.3, 2
M,30,12, 6,  1.1, 3
M,31,00,10,  1.0, 4
M,31,12,11,  0.8, 5
N, 1,00, 8,  1.1, 3
N, 1,12, 7,  1.1, 4
N, 2,00, 7,  1.1, 4
N, 2,12, 6,  1.0, 5
N, 3,00, 6,  1.3, 5
N, 3,12, 6,  1.7, 5
N, 4,00, 7,  1.8, 6
N, 4,12, 9,  2.1, 5
N, 5,00, 9,  2.4, 6
N, 5,12, 8,  3.1, 4
N, 6,00, 9,  2.6, 4
N, 6,12, 9,  2.1, 4
N, 7,00, 9,  2.3, 4
N, 7,12, 8,  3.0, 3
N, 8,00, 9,  1.5, 1
N, 8,12, 9,  1.5,16
N, 9,00, 9,  1.0,16
N, 9,12, 9,  1.4, 1
N,10,00, 7,  1.3, 2
N,10,12, 8,  1.2, 3
N,11,00, 7,  1.3, 4
N,11,12, 7,  1.3, 5
N,12,00, 8,  2.1, 3
